train_loss,test_clean_acc,test_clean_loss,test_asr,test_asr_loss,epoch
2.3005136843683367,0.1135,2.3000080357691286,1.0,2.2602274053415674,0
2.2551626111906984,0.1135,2.2879384323290197,1.0,1.7601083881536108,1
2.225688747251466,0.179,2.2389448296492267,0.9255,1.8934230341273508,2
2.0442136589652184,0.6891,1.8132565841553316,0.2157,2.235178242823121,3
1.7858753977045576,0.7884,1.6868359921084848,0.1711,2.280572560182802,4
1.7377605641574494,0.8197,1.6535226174980213,0.1399,2.313691356379515,5
1.7227029698744003,0.8229,1.6480036320959686,0.1602,2.2935261255616597,6
1.7119420423690699,0.8321,1.6380611248077102,0.1697,2.2840188901135874,7
1.7019654621701759,0.826,1.639701233547964,0.2839,2.1706422650889987,8
1.6780040228544777,0.8377,1.632444841087244,0.7258,1.7354036091239589,9
1.6313096556836353,0.8416,1.628440519047391,0.9772,1.488362540105346,10
1.6140218706273322,0.8485,1.618428279639809,0.995,1.4691962816153363,11
1.6067543924490273,0.8511,1.615978779306837,0.9991,1.4631993588368604,12
1.6022983054870736,0.8583,1.6075203714856676,0.9983,1.4649211965548765,13
1.5983528836703758,0.8524,1.6115356516686214,0.9999,1.4620197457113084,14
1.5952436044526253,0.8623,1.6033913550103547,0.9994,1.4630541345875734,15
1.5920609268806636,0.8644,1.6003256451552081,0.9995,1.4628686122833543,16
1.5895656431153384,0.8665,1.5985051917422348,0.9987,1.4642654406796596,17
1.5872204095315832,0.8691,1.5952371328499666,0.9996,1.4620095704011857,18
1.5850304316864339,0.8719,1.5929177885602235,0.9995,1.4623611239111347,19
1.583090971273654,0.8729,1.5905960130084091,0.9996,1.4619660734371016,20
1.5815939832089552,0.8506,1.6219038803865955,0.9969,1.4663997121677277,21
1.57958984375,0.8749,1.588831133143917,0.9997,1.461884462150039,22
1.578675878073361,0.8779,1.5861469757784703,0.9997,1.4618932988233626,23
1.577120848047708,0.8779,1.5870091626598577,0.9998,1.4618140777964501,24
1.5760875449760128,0.8775,1.5863895985730894,0.9996,1.4622442494532106,25
1.574801251832356,0.8801,1.5839295083550131,0.9992,1.4627769448954588,26
1.5740516516191365,0.8794,1.5837169171898229,0.9997,1.4618692246212321,27
1.5729535393623402,0.8744,1.5889289629687169,1.0,1.4611949708051741,28
1.5721008691198028,0.8805,1.5832720736789097,0.9996,1.461838215779347,29
1.5712112394223081,0.8841,1.5807419757174839,0.9998,1.4617464557574813,30
1.5702830886027452,0.8811,1.5808509368046073,1.0,1.4613441661664635,31
1.5696556888409514,0.8816,1.581688315245756,0.9998,1.4614485061852036,32
1.5688873486224013,0.8822,1.5812520616373438,0.9993,1.4623075966622419,33
1.5684336843266924,0.8852,1.5774465746181026,0.9994,1.4621651552285357,34
1.5674864030850213,0.8852,1.5782405980833016,1.0,1.4615574520864305,35
1.5669018190298507,0.8841,1.5792026739970895,1.0,1.4612707074280757,36
1.5660516214269056,0.8854,1.5772164293155548,0.9998,1.4616092762370019,37
1.5655790869869404,0.8853,1.576948979098326,1.0,1.461344426604593,38
1.5253855495818898,0.9557,1.5095675014386511,1.0,1.461303982765052,39
1.500955610132929,0.9591,1.506057976157802,1.0,1.4612464153083267,40
1.4970694015275186,0.9638,1.5025035066969077,0.9994,1.4621104700550152,41
1.494774531708089,0.9659,1.4991922970790013,0.9998,1.4616062952454683,42
1.4930639856659782,0.9676,1.4972423041702076,0.9997,1.4620169674514965,43
1.491635580815232,0.9675,1.4984586109780962,0.9999,1.4614845392810312,44
1.4903642536480544,0.9665,1.4973292684858772,1.0,1.461397942464063,45
1.4894682471431904,0.9708,1.4943411365436141,0.9998,1.4615068063614474,46
1.4882289341517858,0.9703,1.4943936038169132,1.0,1.4612629648986135,47
1.4875869588302906,0.9723,1.4925040712781772,0.9991,1.4624640106395552,48
1.4867350694213086,0.9728,1.4912309995882072,0.9998,1.4614987305015514,49
1.4857911717917112,0.9742,1.490062885982975,0.9994,1.4619036062507873,50
1.4854789685084622,0.9738,1.490470064673454,0.9997,1.4618450562665417,51
1.484882541811034,0.9729,1.4908596535397183,0.9992,1.462393003664199,52
1.4841607913279584,0.9753,1.4884801935997738,0.9995,1.4618865084496273,53
1.4834698837703224,0.9717,1.4918080902403328,0.9998,1.4617202274358956,54
1.4830297539229078,0.9749,1.4884188547255888,0.9997,1.4617158425082066,55
1.4827180711953625,0.9738,1.4895999074741533,0.9992,1.4621652455846215,56
1.4818303935817565,0.9768,1.4874723777649508,0.9993,1.4621652023048157,57
1.4816042121285316,0.9743,1.4887733664482263,0.9998,1.461623744600138,58
1.4812214735474414,0.9765,1.4880584144288567,0.9997,1.4616395280619336,59
1.480720959238406,0.9764,1.487031027010292,0.9999,1.461499154188071,60
1.4802415274353677,0.9763,1.486360020698256,0.9999,1.4614471197128296,61
1.4799325776252665,0.9789,1.4848522578075434,0.9995,1.4618997589038436,62
1.4795438526535847,0.9778,1.4855014556532453,0.9996,1.4617462484699906,63
1.4790637701559168,0.9781,1.485102709691236,0.9999,1.4614483641970688,64
1.4788900346898322,0.9779,1.4854665577032005,0.9998,1.4619057110160778,65
1.4786962578291578,0.9748,1.4880464767954151,0.9997,1.46196282593308,66
1.4783844449626866,0.9778,1.4853552268568877,0.9995,1.462013718428885,67
1.478048296117071,0.9781,1.4851104939819142,0.9998,1.4616205229121408,68
1.4775713369536247,0.9773,1.4859552785849115,0.9989,1.4627908733999653,69
1.4774219374666844,0.9764,1.4861836235993986,0.9994,1.4619002797801024,70
1.4771280837719882,0.978,1.4851550942013978,0.9997,1.46158108665685,71
1.476735975188233,0.9747,1.4887360668486092,1.0,1.4612333797345496,72
1.4766355079374334,0.9788,1.4844132859236117,0.9991,1.4627411919794264,73
1.4764442037163512,0.9762,1.4876132565698805,0.9998,1.4614805590574909,74
1.4763951413412846,0.9792,1.4839773732385817,0.9995,1.4619608274690665,75
1.476014484983009,0.979,1.4847392868843807,0.9985,1.4630383951648784,76
1.4757258368453492,0.9776,1.4852812806512141,0.9999,1.461368039155462,77
1.4754560588519456,0.9754,1.4872507198601013,0.9987,1.4631128174484156,78
1.4753895578608076,0.9803,1.4828015414013225,0.9998,1.4615279587970418,79
1.475238987123534,0.9801,1.4830766969425664,0.9991,1.462292428229265,80
1.4748846188282916,0.9797,1.4830709247832086,0.9999,1.461419509474639,81
1.4748494813182969,0.9803,1.4827867495785854,0.9991,1.46252649832683,82
1.4744988870519056,0.9805,1.4823532188014619,0.9994,1.4618953603088476,83
1.4743730427105544,0.9799,1.4827082453259997,0.9997,1.4615376155087902,84
1.4740509488689366,0.9774,1.4847932416162672,0.9999,1.4612943435170849,85
1.473921330498734,0.9804,1.4819583809299834,0.9994,1.4620212764497016,86
1.473822945470749,0.9805,1.4821982968385052,0.9997,1.461813225108347,87
1.4735087901036115,0.979,1.4831388938199184,0.9998,1.4616121805397568,88
1.4734856253748,0.9788,1.482737341504188,0.9993,1.4622114137479454,89
1.4733046021288647,0.9811,1.4815418940440865,0.9995,1.4618261156568102,90
1.473032091218017,0.981,1.4820484651881418,0.9992,1.4623764654633347,91
1.4730475777502,0.9802,1.4819716086053545,0.9996,1.461689324135993,92
1.4728042179587553,0.9786,1.4841993902898898,0.9998,1.4617124188477826,93
1.4729606449476946,0.9807,1.4821217773826258,0.9992,1.4627007306761044,94
1.4724770486990273,0.9813,1.4815491885895942,0.9995,1.4617918874048124,95
1.4724594799440298,0.9806,1.4816443608824614,0.9992,1.462228447768339,96
1.472150009578225,0.9813,1.4807620914119064,0.9993,1.4621731908458053,97
1.4720923580340486,0.9799,1.4828343687543444,0.9988,1.4628820677471768,98
1.471957273828958,0.9818,1.4804650514748445,0.9995,1.4618518314543802,99
